symbol,date,num,level
CA,2007,12132327,40.6
CA,2008,12389673,40.3
CA,2009,12731188,39.3
CA,2010,13099396,40.6
CA,2011,13211116,40.3
CA,2012,13485120,41.1
CA,2013,13941347,41.4
CA,2014,14222521,42.0
NL,2007,238457,53.8
NL,2008,240811,50.5
NL,2009,248880,48.5
NL,2010,243231,55.1
NL,2011,265177,64.1
NL,2012,243825,49.5
NL,2013,266823,60.1
NL,2014,272818,59.2
PEI,2007,59941,53.7
PEI,2008,60371,45.0
PEI,2009,58943,48.6
PEI,2010,58396,45.5
PEI,2011,60836,42.4
PEI,2012,66801,50.6
PEI,2013,68979,53.5
PEI,2014,65238,46.7
NS,2007,238457,48.0
NS,2008,240811,58.7
NS,2009,248880,49.2
NS,2010,243231,50.9
NS,2011,265177,48.7
NS,2012,243825,51.9
NS,2013,266823,52.5
NS,2014,272818,51.9
NB,2007,59941,49.7
NB,2008,60371,54.6
NB,2009,58943,56.5
NB,2010,58396,52.9
NB,2011,60836,49.9
NB,2012,66801,42.1
NB,2013,68979,52.7
NB,2014,65238,51.4
QC,2007,238457,35.9
QC,2008,240811,36.5
QC,2009,248880,35.2
QC,2010,243231,40.3
QC,2011,265177,37.9
QC,2012,243825,37.5
QC,2013,266823,41.6
QC,2014,272818,39.2
ON,2007,59941,40.3
ON,2008,60371,39.3
ON,2009,58943,39.1
ON,2010,58396,40.1
ON,2011,60836,40.4
ON,2012,66801,43.0
ON,2013,68979,39.9
ON,2014,65238,41.9
MN,2007,238457,46.6
MN,2008,240811,43.9
MN,2009,248880,42.8
MN,2010,243231,54.6
MN,2011,265177,46.1
MN,2012,243825,48.8
MN,2013,266823,39.2
MN,2014,272818,48.7
SK,2007,59941,48.7
SK,2008,60371,50.4
SK,2009,58943,48.3
SK,2010,58396,52.4
SK,2011,60836,46.3
SK,2012,66801,45.0
SK,2013,68979,47.3
SK,2014,65238,46.0
AB,2007,238457,45.9
AB,2008,240811,43.9
AB,2009,248880,46.3
AB,2010,243231,38.6
AB,2011,265177,42.0
AB,2012,243825,43.5
AB,2013,266823,44.4
AB,2014,272818,43.0
BC,2007,59941,37.0
BC,2008,60371,36.0
BC,2009,58943,32.2
BC,2010,58396,32.7
BC,2011,60836,34.4
BC,2012,66801,33.8
BC,2013,68979,35.7
BC,2014,65238,38.2
